experiment_name,target_key,target_label,input_type,behavior_scope,n_total,n_train,n_test,n_features,n_features_raw,cv_folds_total,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_R2_min,cv_R2_max,test_MAE,test_RMSE,test_R2,status,error
stai__behavioral_only__all,stai,STAI state anxiety severity,behavioral_only,all,219,175,44,205,202,15,5.554417946110834,0.4891055647289814,6.8858946055624095,0.4914579972797156,0.725705290702453,0.04108309897324735,0.6289610320870189,0.7923861765482098,5.58895811300798,7.2893220358837345,0.7187834183561135,ok,
stai__behavioral_only__relevant,stai,STAI state anxiety severity,behavioral_only,relevant,219,175,44,23,20,15,5.765445404858832,0.48730060983177836,7.110226215030634,0.578704776498347,0.7074368537966897,0.04890717791396065,0.5697281978476085,0.7848232075029449,5.719418914980647,7.398512994793165,0.7102953060710615,ok,
stai__behavioral_only__category,stai,STAI state anxiety severity,behavioral_only,category,219,175,44,9,6,15,8.399474707412095,0.802764700000811,10.078110337892157,1.0927985833577083,0.408340353991251,0.13760704966646314,0.06617007614126746,0.5907751036344082,7.670806643470716,10.210307385970903,0.4482475327516411,ok,
stai__behavioral_only__non-symptom,stai,STAI state anxiety severity,behavioral_only,non-symptom,219,175,44,195,192,15,6.210618678073398,0.5043841767756079,7.68627240959187,0.5907007769539303,0.6576479001596851,0.056687940483317455,0.5289111736836907,0.7542381023408401,6.63825205983369,8.271750847137302,0.6378724726799749,ok,
stai__multimodal__all,stai,STAI state anxiety severity,multimodal,all,219,175,44,278,718,15,5.760289690572931,0.4508545964927511,7.132082661917786,0.4703283998700305,0.706258745905966,0.03841256236538682,0.6168843518607627,0.7758669609121774,5.882350238142201,7.538756728707785,0.6992081199202554,ok,
stai__multimodal__relevant,stai,STAI state anxiety severity,multimodal,relevant,219,175,44,96,536,15,6.916634165018837,0.5155791092448105,8.392699636537165,0.5739361369370889,0.5948018643364265,0.04095085729537979,0.49639115587671145,0.6553276738744706,6.78819485025486,8.731504073318536,0.5964988545694452,ok,
stai__multimodal__category,stai,STAI state anxiety severity,multimodal,category,219,175,44,82,522,15,9.846375014922852,0.5788363113498506,11.647022390415714,0.6730238055976259,0.21986930634292684,0.06515357796295171,0.05908845529600881,0.3407749853717692,9.932358252398345,11.93664132940409,0.24589653051380722,ok,
stai__multimodal__non-symptom,stai,STAI state anxiety severity,multimodal,non-symptom,219,175,44,268,708,15,6.419147739476167,0.4856543152355333,7.921335427407522,0.5611170619851341,0.6370207837757603,0.05328376994687906,0.5270959022843797,0.7376128175630954,7.012383778166656,8.598799678468627,0.6086707477019251,ok,
shaps__imaging_only,shaps,SHAPS anhedonia severity,imaging_only,none,222,177,45,73,516,15,1.8886791984163065,0.2166097897276116,2.677900665022343,0.3776151869541554,-0.10101101184450895,0.07973108290918401,-0.2592088235550367,0.019981199677802763,1.3753864034509788,1.6367944751607573,0.027747363497943156,ok,
shaps__behavioral_only__all,shaps,SHAPS anhedonia severity,behavioral_only,all,222,177,45,206,203,15,1.3490679612836167,0.2433794729625466,2.0862734379517955,0.34145199087062594,0.33486751781685165,0.06371651748552529,0.22912481774523785,0.44256003901081187,1.1668427001064234,1.7168410001270176,-0.06967287005863887,ok,
